,monthly_income,monthly_outcome,total_credit_payments,payments_per_year,loan_term,loan_amount,_will_pay,worst_previous_delinquency,worst_previous_fraction,_is_account_recent,_is_common_type,ratio_outcome_income,sqrt_income,sqrt_outcome,log_income,log_outcome
650,40153,65502,12.0,12,1.0,660.0,1,0.0,0.0,1,1,0.6130041830783793,200.38213493223392,255.93358513489392,10.60045243638427,11.089835955508324
651,40153,65502,12.0,12,1.0,240.0,1,0.0,0.0,1,1,0.6130041830783793,200.38213493223392,255.93358513489392,10.60045243638427,11.089835955508324
652,40153,65502,12.0,12,1.0,516.0,1,0.0,0.0,1,1,0.6130041830783793,200.38213493223392,255.93358513489392,10.60045243638427,11.089835955508324
653,40153,65502,12.0,12,1.0,1548.0,1,0.0,0.0,1,1,0.6130041830783793,200.38213493223392,255.93358513489392,10.60045243638427,11.089835955508324
654,40153,65502,12.0,52,0.2307692307692308,11837.0,1,0.0,0.0,1,1,0.6130041830783793,200.38213493223392,255.93358513489392,10.60045243638427,11.089835955508324
655,40153,65502,12.0,52,0.2307692307692308,9998.0,1,0.0,0.0,1,1,0.6130041830783793,200.38213493223392,255.93358513489392,10.60045243638427,11.089835955508324
656,40153,65502,12.0,52,0.2307692307692308,9917.0,1,0.0,0.0,1,1,0.6130041830783793,200.38213493223392,255.93358513489392,10.60045243638427,11.089835955508324
657,40153,65502,12.0,52,0.2307692307692308,198264.0,1,0.0,0.0,1,1,0.6130041830783793,200.38213493223392,255.93358513489392,10.60045243638427,11.089835955508324
663,40153,65502,36.0,12,3.0,49968.0,1,0.0,0.0,1,1,0.6130041830783793,200.38213493223392,255.93358513489392,10.60045243638427,11.089835955508324
1029,20808,14300,9.0,12,0.75,6642.0,1,400.0,0.5,1,0,1.455104895104895,144.2497833620557,119.58260743101398,9.943092807128487,9.568014816247999
1031,20808,14300,2.0,24,0.08333333333333333,500.0,1,0.0,0.0,0,1,1.455104895104895,144.2497833620557,119.58260743101398,9.943092807128487,9.568014816247999
1032,20808,14300,2.0,24,0.08333333333333333,900.0,1,0.0,0.0,0,1,1.455104895104895,144.2497833620557,119.58260743101398,9.943092807128487,9.568014816247999
1033,20808,14300,2.0,24,0.08333333333333333,600.0,1,0.0,0.0,0,1,1.455104895104895,144.2497833620557,119.58260743101398,9.943092807128487,9.568014816247999
1034,20808,14300,2.0,24,0.08333333333333333,700.0,1,0.0,0.0,0,1,1.455104895104895,144.2497833620557,119.58260743101398,9.943092807128487,9.568014816247999
1036,20808,14300,2.0,24,0.08333333333333333,800.0,0,0.0,0.0,0,1,1.455104895104895,144.2497833620557,119.58260743101398,9.943092807128487,9.568014816247999
1117,16583,72029,36.0,12,3.0,148788.0,1,0.0,0.0,1,0,0.23022671424009775,128.77499757328673,268.382190169169,9.716133353214099,11.184824094682776
1120,16583,72029,12.0,12,1.0,8000.0,1,0.0,0.0,1,0,0.23022671424009775,128.77499757328673,268.382190169169,9.716133353214099,11.184824094682776
1132,1276,23305,16.0,52,0.3076923076923077,6000.0,1,0.0,0.0,1,0,0.054752199098905815,35.7211421989835,152.6597523907333,7.151485463904735,10.05642320880684
